Equity,KCB,UCHUMI,BAMBURI,BAT,EABL,SASINI,SAFAR,NMG,SCB,MARKET
2.8,3.33,2.73,8,5.51,1.75,1.63,3.91,5.13,5.63,4.042
3.06,3.57,2.8,8,5.9,1.74,1.57,3.99,5.15,6.09,4.187
2.91,3.39,2.56,8.16,6.05,1.75,1.16,3.98,5.56,5.7,4.122
2.73,3.36,2.38,8.16,5.81,1.79,1.52,3.98,5.56,5.67,4.096
2.78,3.42,2.37,8.16,6.06,1.9,1.52,3.91,4.98,5.54,4.064
3.98,3.64,3.64,8.16,6.06,1.96,1.52,4.18,5.38,5.59,4.411
4.02,3.64,3.45,8,6,1.9,1.51,4.18,5.35,5.26,4.331
4.29,3.67,4.44,7.95,5.23,1.9,1.59,4.44,5.35,5.7,4.456
4.59,3.67,4.44,7.84,5.23,2.04,1.59,4.4,5.35,5.76,4.491
3.81,4,4.14,7.69,5.23,1.72,1.46,4.27,5.62,6.63,4.457
2.91,3.39,2.84,7.95,5.23,1.95,1.55,4.27,5.56,6.18,4.183
3.46,3.54,3.47,7.79,5.74,2.03,1.4,4.52,5.62,6.07,4.364
3.53,3.42,3.33,7.81,5.57,2.22,1.43,4.31,6.06,6.61,4.429
3.53,3.39,2.75,7.83,6.44,2.22,1.4,4.4,6.25,7.23,4.544
3.87,3.36,3.08,7.83,5.13,2.01,1.6,4.34,6.41,7.26,4.489
3.65,3.31,2.99,7.87,5.7,2.04,1.67,4.22,6.8,6.91,4.516
3.85,3.31,2.76,7.84,5.7,2.07,1.53,4.43,6.94,7.3,4.573
3.81,3.31,2.79,7.79,5.59,2.19,1.57,4.32,6.94,7.59,4.59
4.31,3.45,3.51,7.1,5.66,2.31,1.54,4.4,7.25,7.49,4.702
4.5,3.46,3.68,7.02,5.31,2.37,1.55,4.28,7.3,7.69,4.716
4.31,3.45,3.73,7.74,5.2,2.22,1.52,4.46,7.41,8.33,4.837
4.31,4.71,3.73,7.1,5.56,2.1,1.48,4.25,7.46,8.46,4.916
4.02,4.88,3.13,7.19,5.34,2.17,1.6,4,7.41,8.46,4.82
4,4.82,3,7.64,5.56,2.18,1.55,3.84,7.35,8.21,4.815
4.39,4.85,3.17,7.79,5.53,2.17,1.39,4.17,6.49,7.91,4.786
4.39,4.57,3.49,7.5,5.42,2.17,1.39,4.12,6.13,7.62,4.68
4.29,4.55,3.26,7.38,5.45,2.18,1.39,3.94,5.59,8.29,4.632
4.69,4.79,3.68,7.27,5.32,2.18,1.43,3.83,5.49,8.21,4.689
4.02,4.79,3.35,7.38,5.41,2.18,1.32,4.03,5.75,8.46,4.669
4.02,4.9,3,7.69,5.45,2.22,6.02,3.93,5.24,8.25,5.072
3.89,4.55,2.99,7.91,5.39,2.2,5.81,3.7,5.21,8.42,5.007
3.9,4.35,2.86,7.91,5.41,2,6.39,3.93,5.01,5.87,4.763
3.64622449,3.803265306,2.594285714,6.928163265,5.30744898,1.931122449,1.843571429,3.489183673,4.206938776,5.271326531,3.902153061
