,Equity,KCB,UCHUMI,BAMBURI,BAT,EABL,SASINI,SAFAR,NMG,SCB
0,0.111107107266,0.052912659494,-0.066751297873,-0.208859370986,0.054921863772,-0.0078828823947,0.503436635026,-0.0682334486679,-0.118354634688,-0.139434399448
1,0.0580660722812,0.0174804145957,-0.0281269732861,-0.0909004205488,0.00956990555974,-0.00481791154927,0.213096484394,-0.0403311989116,-0.0505859369232,-0.0620721691271
2,0.0195309848167,0.00916300351695,-0.0132895913618,-0.0476488053885,0.00501641867936,-0.00107128764244,0.104189017922,-0.0196868859864,-0.0265164830844,-0.0238122254917
3,-0.0599838305385,-0.0216405037723,0.0706043678214,0.253146518226,-0.0639923879278,0.000540956283821,-0.465971834363,0.131631944916,0.152464330327,0.169000474217
4,-0.0226126983719,0.0190602124563,0.0155391860925,0.193391334553,-0.0405409778212,-0.018417276952,-0.34873870414,0.0725253647421,0.116713308947,0.12283387169
5,0.200458283163,0.0814016672664,0.127686623409,0.989009795193,-0.368056934087,-0.094186574328,0.268512205474,0.478049829268,0.559372355597,0.628176554879
6,0.213932632046,0.169307356284,0.167348344497,1.02906984087,-0.351155236322,-0.171404036913,0.27202044357,0.478868141222,0.561253184557,0.576680006775
7,0.270028093659,0.198925755701,0.132832010192,1.10301315865,-0.166952516206,-0.177902557807,0.279931074279,0.460918278248,0.566675960067,0.717016842537
8,0.364209269557,0.207080260074,0.121556213302,1.0389106951,-0.605188789285,-0.0756078153387,0.26790165251,0.485652398753,0.609135911476,0.686204621935
9,0.186271529033,0.180776023923,-0.31558701896,0.73130735982,-0.42141778054,-0.0790678746195,0.243401529089,0.423802094575,0.496568474158,0.57681648588
10,0.370218647594,0.227096050162,-0.33211076726,0.870654931248,-0.361187167323,-0.0924285859898,0.268758070392,0.553249187869,0.59099276376,0.669028002887
11,0.353097437681,0.210519277567,-0.304659252197,0.80972899636,-0.344100313096,-0.0501759193233,0.26773571665,0.51971883024,0.573031730718,0.708384094237
12,0.28671457568,0.199641542873,-0.210235968426,0.894238372453,-0.288229406391,-0.0889947395369,0.26364574872,0.543353710706,0.54968115443,0.731334082576
13,0.222616033406,0.155009239666,-0.1632351521,0.610967799082,-0.465514955467,-0.0565959786041,0.192201623355,0.451053793311,0.426793224401,0.363621376065
14,-0.0982999189738,-0.180468237494,0.346958773068,0.490299750491,-0.435202853426,-0.0502134334146,0.17792157768,0.429767799142,0.393452652972,0.293033332333
15,-0.0450364787408,-0.115876417281,0.34923644265,0.394976775759,-0.589744953522,0.00163325949087,0.171513403725,0.440188179123,0.40589464131,0.498584667609
16,-0.0846127178077,-0.167924264705,0.368925883855,0.36449730054,-0.486833515233,0.0230330262546,0.183391532976,0.409807474555,0.370985025178,0.305841757017
17,-0.198841556485,-0.146315163635,0.197309469861,0.101063063419,-0.237787091522,0.0191947463711,0.09600858351,0.224603859396,0.210704782223,0.149254385783
18,-0.0751097197514,-0.0389058312749,0.285972338665,0.177623436596,-0.225182073058,0.0273802488006,0.126435652509,-0.0388159452665,0.274342314779,0.176705424656
19,-0.0258191755341,-0.0896467729656,0.360412716702,0.203310771873,-0.25774718676,0.0283322594907,0.150735640848,-0.0354064826817,0.350108429453,0.220305801721
20,-0.0466782134348,-0.122013233606,0.237722049064,0.13741463096,-0.194330912708,-0.00585023030502,0.109113285162,-0.0266950502227,0.252629371144,0.172904529612
21,-0.0530594233473,-0.0175444415764,0.270220171513,0.145889554186,-0.220897189676,0.00108290672116,0.0982534319069,-0.0406549685901,0.282010152485,0.199119316784
22,-0.0821160997319,-0.0157067097979,0.221146652563,0.130608026489,-0.200066453038,-0.00364579201544,0.097192190896,-0.0294735720885,0.245547467354,0.169031584034
23,0.106919653425,0.0434177022521,0.0538168226322,0.273184775759,-0.244892536614,-0.00451472787548,0.117499285163,-0.0450711862773,0.298355834701,0.217891370234
