,Equity,KCB,UCHUMI,BAMBURI,BAT,SASINI,SAFAR,NMG,EABL,SCB,MARKET
0,1.16256157635,1.07142857143,0.492610837438,1.2315270936,1.43596059113,1.64778325123,0.706896551724,0.778325123153,0.460591133005,1.01231527094,4.06
1,1.2325,1.0575,0.505,1.25,1.38,1.64,0.66,0.795,0.46,1.02,4.0
2,1.12619406737,1.06334841629,0.522875816993,1.25691302162,1.38763197587,1.57114127702,0.678733031674,0.79939668175,0.477626948215,1.1161387632,3.978
3,1.08235294118,1.05098039216,0.543790849673,1.30718954248,1.51895424837,1.45620915033,0.650980392157,0.807843137255,0.507189542484,1.07450980392,3.825
4,1.01065211743,0.953494414134,0.644323200831,1.33021564043,1.48090413094,1.37178487919,0.732657833203,0.820992465575,0.550792413614,1.10418290465,3.849
5,0.965476887068,1.08250438853,0.69923932124,1.49795201872,1.75541252194,0.424224692803,0.766530134582,0.944997074312,0.620245757753,1.24341720304,3.418
6,0.961594840223,1.03781882146,0.680152447962,1.48636763412,1.74728818528,0.425095279977,0.77103488713,0.949868073879,0.662562298446,1.27821753152,3.411
7,0.951957295374,1.0409252669,0.711743772242,1.50355871886,1.66073546856,0.435943060498,0.806642941874,0.978647686833,0.667259786477,1.24258600237,3.372
8,0.889019723285,1.02443332352,0.709449514277,1.50132469826,1.88401530762,0.43273476597,0.777156314395,0.936120105976,0.612304974978,1.23344127171,3.397
9,0.930365296804,0.984589041096,0.950342465753,1.52397260274,1.78367579909,0.402397260274,0.733447488584,0.904680365297,0.60502283105,1.18150684932,3.504
10,0.866394399067,0.997666277713,0.950991831972,1.54900816803,1.75029171529,0.420070011669,0.717619603267,0.918903150525,0.618436406068,1.21061843641,3.428
11,0.874635568513,1.00583090379,0.935860058309,1.58017492711,1.74052478134,0.419825072886,0.734693877551,0.927113702624,0.594752186589,1.18658892128,3.43
12,0.918934738074,1.01843722564,0.883816213052,1.55106818847,1.71202809482,0.427275387767,0.731635937957,0.951126719344,0.617500731636,1.18817676324,3.417
13,0.887757986995,0.983884648007,0.853830930167,1.55499010461,1.81792479502,0.421260955612,0.687022900763,0.918857789087,0.588068985016,1.28640090472,3.537
14,1.09933035714,1.2109375,0.471540178571,1.57366071429,1.81082589286,0.41015625,0.655691964286,0.895647321429,0.580357142857,1.29185267857,3.584
15,1.06311360449,1.16409537167,0.485273492286,1.66900420757,1.91584852735,0.423562412342,0.667601683029,0.90603085554,0.544179523142,1.16129032258,3.565
16,1.0876216968,1.2016689847,0.445062586926,1.65507649513,1.85535465925,0.400556328234,0.659248956885,0.901251738526,0.522948539638,1.27121001391,3.595
17,1.24,1.21866666667,0.442666666667,1.72533333333,1.728,0.394666666667,0.642666666667,0.864,0.493333333333,1.25066666667,3.75
18,1.07287997833,1.08371714982,0.417231102682,1.7041452181,1.6716337036,0.39826605256,0.991601192089,0.875101598483,0.498509888919,1.28691411542,3.691
